Tarih;Kullanıcı Adı;Kullanılan Model;Kullanıcı Sorusu;Yapay Zeka Cevabı
26.05.2026 15:48;Deneme2;OpenAI GPT-OSS 120B ;Bursa nasıl bir yer;Bursa, Osmanlı’nın ilk başkenti ve “Yeşil Bursa” olarak anılan, doğa ve tarih kokan bir şehirdir. Uludağ’ın eteklerinde, ormanları, termal kaynakları ve kaplıcalarıyla doğa tutkunlarına, tarihi çarşıları, Osmanlı mimarisiyle süslü camileri ve hanlarıyla kültür meraklılarına, İskender, kestane şekeri ve cantık gibi lezzetli mutfağıyla da gurme gezginlerine ayrı bir çekim sunar. Şehir, modern yaşam olanakları ile geleneksel atmosferi dengeli bir şekilde harmanlayarak ziyaretçilere hem dinlenme hem keşfetme fırsatı verir.
2026-05-26 15:49:07;Deneme2;OpenAI GPT-OSS 120B ;bursa;Merhaba! Bursa hakkında tarih, lezzetler veya gezilecek yerler gibi konularda size nasıl yardımcı olabilirim?
2026-06-28 16:31:26;Deneme1;1. Llama 3 (8B) - (ÜCRETSİZ / Kararlı ve Mantıklı);Bursa nasıl bir yer;"[SİSTEM UYARISI] OpenRouter İsteği Reddetti (Kod: 404)
Sunucu Diyor ki: {""error"":{""message"":""This model is unavailable for free. The paid version is available now - use this slug instead: meta-llama/llama-3-8b-instruct"",""code"":404},""user_id"":""user_3Citbgxhu0aWN8Yhw2Fu2OhurjL""}"
2026-06-28 16:31:44;Deneme1;2. Google Gemma 2 (9B) - (ÜCRETSİZ / Analitik Zeka);bursa nasıl bir yer;"[SİSTEM UYARISI] OpenRouter İsteği Reddetti (Kod: 404)
Sunucu Diyor ki: {""error"":{""message"":""No endpoints found for google/gemma-2-9b-it:free."",""code"":404},""user_id"":""user_3Citbgxhu0aWN8Yhw2Fu2OhurjL""}"
2026-06-28 16:31:55;Deneme1;3. Microsoft Phi-3 Mini - (ÜCRETSİZ / Hızlı ve Akıllı);bursa nasıl bir yer;"[SİSTEM UYARISI] OpenRouter İsteği Reddetti (Kod: 404)
Sunucu Diyor ki: {""error"":{""message"":""No endpoints found for microsoft/phi-3-mini-128k-instruct:free."",""code"":404},""user_id"":""user_3Citbgxhu0aWN8Yhw2Fu2OhurjL""}"
2026-06-28 16:32:16;Deneme1;4. OpenAI GPT-4o Mini - (UYGUN FİYATLI / Yüksek Zeka);bursa nasıl bir yer;"Bursa, Türkiye'nin Marmara Bölgesi'nde yer alan tarihi ve kültürel zenginlikleriyle tanınan bir şehirdir. Osmanlı İmparatorluğu'nun ilk başkenti olan Bursa, bu özelliğiyle tarihi açıdan büyük bir öneme sahiptir. İşte Bursa hakkında bazı detaylı bilgiler:

### Tarih ve Kültürel Miras
- **Osmanlı Mirası:** Bursa, Osmanlı İmparatorluğu’nun ilk başkenti olduğu için pek çok tarihi yapıya ev sahipliği yapmaktadır. Ulu Camii, Yeşil Türbe ve Emir Sultan Camii gibi önemli yapılar burada bulunmaktadır.
- **Tarihî Çeşmeler ve Külliyeler:** Bursa, birçok tarihi çeşme ve külliye ile doludur. Bu yapılar, hem mimari açıdan hem de sosyal hayat açısından zengin bir geçmişi yansıtır.

### Doğa ve Manzara
- **Bursa'nın Doğası:** Şehri çevreleyen Bursa Dağları ve Uludağ, doğal güzellikleri ile ünlüdür. Kış turizmi açısından önemli bir merkez olan Uludağ, kayak ve doğa yürüyüşü imkânı sunar.
- **Yeşil Alanlar:** Bursa'da birçok park ve bahçe bulunmaktadır. Kentin simgelerinden biri olan Botanik Park, dinlenmek ve doğayla iç içe olmak için harika bir yerdir.

### Gastronomi
- **Bursa İskender Kebabı:** Bursa'nın en ünlü lezzetlerinden biri olan İskender kebabı, döner etinin yoğurt ve domates sosuyla servis edildiği bir yemektir.
- **Kadayıf ve Kemalpaşa Tatlısı:** Türkiye'nin çeşitli yerlerinde bilinen bu tatlılar, Bursa'nın yerel mutfağının önemli bir parçasıdır.

### Kültürel Etkinlikler
- **Festivaller:** Bursa, yıl boyunca çeşitli kültürel etkinliklere ev sahipliği yapmaktadır. Bursa Festivali, Uluslararası Bursa Çocuk Şenliği gibi etkinlikler, şehrin kültürel zenginliğini sergiler.
- **Sanat ve El Sanatları:** Bursa'da geleneksel Türk el sanatları, özellikle ipek dokuma ve platino baskı gibi sanatlar oldukça gelişmiştir.

### Ulaşım
Bursa, İstanbul'a yakınlığı ile de dikkat çeker. Feribot ve kara yoluyla ulaşım oldukça kolaydır. Ayrıca şehir içinde toplu taşıma seçenekleri mevcut olup, ulaşımı oldukça rahattır.

Bursa, hem tarihi hem de doğasıyla zengin bir deneyim sunan bir şehirdir. Hem kültürel hem de doğal güzelliklere meraklıysanız, Bursa kesinlikle ziyaret edilmesi gereken yerlerden biridir."
2026-06-28 16:32:36;Deneme1;5. Claude 3 Haiku - (UYGUN FİYATLI / Şimşek Hızında);bursa nasıl bir yer;"Bursa, Türkiye'nin önemli şehirlerinden biri olup pek çok kültürel ve tarihi mirasa ev sahipliği yapıyor. Şehrin ana özellikleri şöyle özetlenebilir:

- Tarih: Bursa, Osmanlı İmparatorluğu'nun ilk başkenti olmasından dolayı tarihi bakımından çok zengin. Eski kent merkezi, Osmanlı döneminden kalan cami, bedesten, han gibi yapılarla dolu.

- Doğa: Şehir, Uludağ Dağı'nın eteklerinde kurulduğu için etkileyici bir doğal güzelliğe sahip. Kış turizminin merkezi Uludağ, yaz aylarında da ziyaretçileri çekiyor.

- Kültür-Gastronomi: Bursa, Osmanlı mutfak kültürünün merkezidir. Meşhur İskender kebabı, Kemalpaşa tatlısı, Candır helvası gibi lezzetleri bulunuyor. Ayrıca el sanatları ve geleneksel dokumacılık kenti olarak da tanınıyor.

- Mimari: Yeşil Cami, Ulu Cami, Orhan Gazi Türbesi gibi Osmanlı mimarisinin zarif örnekleri görülebilir. Ayrıca ahşap Osmanlı evleri ve tarihi hanlar da şehrin önemli mimari mirasını oluşturuyor.

Bursa, sahip olduğu bu zengin tarih, kültür ve doğal güzellikleriyle Türkiye'nin önemli bir turizm merkezi konumunda. Ziyaretçiler, şehrin bu çeşitli özelliklerini keşfedebilirler."
2026-06-28 16:33:00;Deneme1;5. Claude 3 Haiku - (UYGUN FİYATLI / Şimşek Hızında);evliyalar kimler;"Bursa, Türkiye'nin en önemli manevi merkezlerinden biridir ve birçok ünlü evliya türbesi barındırmaktadır. Bazı önemli Bursa evliyaları şunlardır:

1. Yeşil Türbe (Yeşil Cami) - İznik'ten Bursa'ya yerleşen Muhammed Çelebi'nin türbesi bulunmaktadır. Yeşil Türbe'nin mimarisi ve süslemeleri Osmanlı sanatının en güzel örneklerindendir.

2. Şeyh Edebali Türbesi - Osmanlı Devleti'nin kurucusu Osman Gazi'nin hocası ve danışmanı olan Şeyh Edebali'nin türbesi Mudanya'da bulunmaktadır.

3. Emir Sultan Camii ve Türbesi - 15. yüzyılda yaşamış Emir Sultan'ın türbesi Bursa'nın manevi merkezlerinden biridir. Cami ve türbe kompleksi Osmanlı mimarisinin önemli örneklerindendir.

4. Muradiye Külliyesi - II. Murat döneminde inşa edilmiş külliye içerisinde birçok Osmanlı padişahının türbesi bulunmaktadır.

5. Arap Camii ve Türbesi - Hz. Muhammed'in torunu Hüseyin'in soyundan gelen Arap Baba'nın türbesi barındıran külliye kompleksi.

Bu evliya türbeleri, Bursa'nın manevi geçmişini ve Osmanlı kültürünü yansıtan önemli yapılardır. Ziyaretçiler buralarda dua edebilir, ibadet edebilir ve tarihi atmosferi hissedebilirler."
2026-06-28 16:33:20;Deneme1;5. Claude 3 Haiku - (UYGUN FİYATLI / Şimşek Hızında);yemek olarak ne yenmeli;"Bursa'da yemeniz gereken lezzetli yemekler:

1. İskender Kebabı: Dünyanın en meşhur kebap türlerinden biri olan İskender Kebabı, Bursa'nın en önemli yemek kültürlerinden biridir. Pirpirim ekmeği üzerinde ince dilimlenmiş döner eti, yoğurt ve tereyağlı domatesli sosu ile servis edilir.

2. Kebap: Bursa, Türkiye'nin en önemli kebap merkezlerinden biridir. Özellikle odun ateşinde pişirilen Bursa Kebabı, Kebapçı Mustafa, Kebapçı Ömer gibi ünlü mekanlarda tatmanızı tavsiye ederim.

3. Çiğ Köfte: Geleneksel Bursa usulü çiğ köfte, harika bir lezzettir. Et, bulgur ve baharatların özenle harmanlandığı bu lezzetin tadına bakmadan Bursa'dan ayrılmayın.

4. Künefe: Bursa'nın vazgeçilmez tatlılarından olan künefe, ince yufka hamuru üzerinde peynir ve şerbeti ile lezzetli bir deneyim sunar.

5. Karacabey Lahana Sarması: Bursa yöresiniin geleneksel yemeklerinden biri olan lahana sarma, içinde kıyma, pirinç, soğan ve baharatların yer aldığı enfes bir lezettir.

Bursa'yı ziyaret ediyorsanız, yukarıdaki lezzetli yöresel yemekleri denemenizi şiddetle tavsiye ederim. Keyifli bir yemek deneyimi geçirmenizi dilerim."
2026-06-28 16:34:40;Deneme1;5. Claude 3 Haiku - (UYGUN FİYATLI / Şimşek Hızında);kebbçı mustafa nerde;"Kebapçı Mustafa, Bursa'nın önemli ve geleneksel kebap restoranlarından biridir. Bursa'nın tarihi merkezinde, Atatürk Caddesi üzerinde faaliyet göstermektedir.

Kebapçı Mustafa, 1940'lı yıllardan beri Bursa mutfağının en meşhur dürüm kebabını ve çeşitli izgara kebaplarını sunmaktadır. Restoranın fırınında odun ateşiyle pişirilen Bursa kebabı, lezzetiyle bilinen ve şehir kültürünün önemli bir parçasıdır.

Kebapçı Mustafa, Bursa'ya gelen yerli ve yabancı turistlerin de sıklıkla uğradıkları bilinen bir mekandır. Restoranın karakteristik mimarisi ve nostalojik atmosferi de ziyaretçiler tarafından beğenilmektedir.

Bursa'nın en eski ve meşhur kebapçılarından biri olan Kebapçı Mustafa, şehrin merkezinde, Atatürk Caddesi'nde, Ulu Cami'ye yakın bir konumda hizmet vermektedir."
